"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","Link_ID","temperature","salinity","CTD_date","CTD_link","CTD_time","date_diff","domain","regime"
"45",95,"DY14-05",47,2,"2014-05-11 6:44","DY14-05 47 2 60BON 1",229.61191,353.2491,2014,5,58.0395,-169.6802,131,118.89627,70,"DY14-05_58.0395_-169.6802_2014-05-11 6:44_505",42,521,"2014-05-11",2978000,"DY14-05_47_2",2.73805454545455,32.3281181818182,"2014-05-11","DY14-05_47_2","644",0,"Middle","Warm2"
"205",580,"DY15-04",32,2,"2015-05-02 13:45","DY15-04 32 2 60BON 2",144.20271,240.33785,2015,5,57.2635,-165.7488,122,87.377,70,"DY15-04_57.2635_-165.7488_2015-05-02 13:45_505",21,160,"2015-05-02",3100000,"DY15-04_32_2",2.99271818181818,31.9868272727273,"2015-05-02","DY15-04_32_2","1345",0,"Middle","Warm2"
"207",584,"DY15-04",34,2,"2015-05-02 16:18","DY15-04 34 2 60BON 1",326.15734,543.59556,2015,5,57.3217,-166.3288,122,125.093,71,"DY15-04_57.3217_-166.3288_2015-05-02 16:18_505",68,160,"2015-05-02",3100000,"DY15-04_34_2",2.94762727272727,31.9841818181818,"2015-05-02","DY15-04_34_2","1618",0,"Middle","Warm2"
"426",1156,"DY14-05",53,2,"2014-05-11 15:00","DY14-05 53 2 60BON 1",5.3632,8.79214,2014,5,58.9478,-170.324,131,113.73801,71,"DY14-05_58.9478_-170.324_2014-05-11 15:00_505",1,521,"2014-05-11",2978000,"DY14-05_53_2",0.272,31.4056,"2014-05-11","DY14-05_53_2","1500",0,"Middle","Warm2"
"503",1332,"DY15-04",36,2,"2015-05-02 18:46","DY15-04 36 2 60BON 1",1050.31867,1721.83388,2015,5,57.4265,-166.8162,122,116.736,70,"DY15-04_57.4265_-166.8162_2015-05-02 18:46_505",201,160,"2015-05-02",3100000,"DY15-04_36_2",2.52220909090909,32.0419545454545,"2015-05-02","DY15-04_36_2","1846",0,"Middle","Warm2"
"600",1638,"DY14-05",42,2,"2014-05-10 22:03","DY14-05 42 2 60BON 1",2476.25495,3751.90145,2014,5,57.7683,-168.4642,130,119.13959,71,"DY14-05_57.7683_-168.4642_2014-05-10 22:03_505",447,521,"2014-05-10",2978000,"DY14-05_42_2",2.59371818181818,32.3809,"2014-05-10","DY14-05_42_2","2203",0,"Middle","Warm2"
"601",1639,"DY14-05",43,5,"2014-05-11 0:32","DY14-05 43 5 60BON 2",5.13501,7.6642,2014,5,57.8352,-168.8827,131,130.47681,71,"DY14-05_57.8352_-168.8827_2014-05-11 0:32_505",1,521,"2014-05-11",2978000,"DY14-05_43_5",2.32841818181818,32.4228818181818,"2014-05-11","DY14-05_43_5","32",0,"Middle","Warm2"
"603",1641,"DY14-05",45,2,"2014-05-11 4:33","DY14-05 45 2 60BON 2",11.93181,19.24485,2014,5,57.9272,-169.325,131,103.92389,67,"DY14-05_57.9272_-169.325_2014-05-11 4:33_505",2,521,"2014-05-11",2978000,"DY14-05_45_2",2.34139090909091,32.3734272727273,"2014-05-11","DY14-05_45_2","433",0,"Middle","Warm2"
"605",1654,"DY14-05",65,2,"2014-05-12 8:14","DY14-05 65 2 60BON 1",5.48004,8.56257,2014,5,59.8928,-172.1638,132,116.78737,74,"DY14-05_59.8928_-172.1638_2014-05-12 8:14_505",1,521,"2014-05-12",2978000,"DY14-05_65_2",-0.0661272727272727,31.3281636363636,"2014-05-12","DY14-05_65_2","814",0,"Middle","Warm2"
"684",1860,"DY15-04",38,2,"2015-05-02 21:21","DY15-04 38 2 60BON 1",432.51694,697.60796,2015,5,57.4992,-167.353,122,118.978,71,"DY15-04_57.4992_-167.353_2015-05-02 21:21_505",83,160,"2015-05-02",3100000,"DY15-04_38_2",2.25636363636364,32.0968181818182,"2015-05-02","DY15-04_38_2","2121",0,"Middle","Warm2"
