"","year","SST"
"1","1975",1.58198796656123
"2","1976",1.5177097300391
"3","1977",2.11169509558888
"4","1978",1.9832955125844
"5","1979",2.71258423452667
"6","1980",2.13445660962906
"7","1981",2.27823277082777
"8","1982",2.71585829617167
"9","1983",2.32478087485834
"10","1984",2.28954029052468
"11","1985",2.88744824795076
"12","1986",2.7227306885676
"13","1987",2.60477043146649
"14","1988",2.66390221522708
"15","1989",2.64947754553048
"16","1990",2.21172649502972
"17","1991",2.14012606717864
"18","1992",2.46399636623921
"19","1993",2.3556176948139
"20","1994",2.87344198544007
"21","1995",2.02228087462703
"22","1996",2.75375578123063
"23","1997",2.56740640583896
"24","1998",2.15980178948539
"25","1999",2.27291895704788
"26","2000",2.06319090949223
"27","2001",2.96604658529225
"28","2002",1.98860931869549
"29","2003",2.75775159290645
"30","2004",2.56220766917557
"31","2005",2.96561772479173
"32","2006",2.49183109874755
"33","2007",2.58094197840371
"34","2008",1.9617055589528
"35","2009",2.08867209956486
"36","2010",2.09719718802938
"37","2011",2.57144406116782
"38","2012",1.76242732421873
"39","2013",2.08644406301082
"40","2014",2.68619302279125
"41","2015",3.0991009812721
"42","2016",3.14065955600323
"43","2017",2.8498854970201
"44","2018",3.26340014694812
"45","2019",3.14666373460363
"46","2020",2.49260515424474
