"","lon","lat","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"7380",-180.5,69.5,-1.79499959945679,-1.79249954223633,-1.79249954223633,-1.79249954223633,-1.79749953746796,-1.78249955177307,-1.79499959945679,-1.79999959468842,-1.67749953269958,-1.7874995470047,-1.79249954223633,-1.73499953746796,-1.7874995470047,-1.57999956607819,-1.76749956607819,-1.68499958515167,-1.71999955177307,-1.74999952316284,-1.77999949455261,-1.64749956130981,-1.58999955654144,-1.70749950408936,-1.7249995470047,-1.7874995470047,-1.77499949932098,-1.74499952793121,-1.77499949932098,-1.65999948978424,-1.71499955654144,-1.78999948501587,-1.74499952793121,-1.5649995803833,-1.73749959468842,-1.65999948978424,-1.66999959945679,-1.76749956607819,-1.77999949455261,-1.79749953746796,-1.70499956607819,-1.60999953746796,-1.72999954223633,-1.72749948501587,-1.70249950885773,-1.79499959945679,-1.74999952316284,-1.7599995136261
"7381",-179.5,69.5,-1.79249954223633,-1.79249954223633,-1.78999948501587,-1.79249954223633,-1.79999959468842,-1.78249955177307,-1.79499959945679,-1.79749953746796,-1.7249995470047,-1.7874995470047,-1.79499959945679,-1.75749957561493,-1.79249954223633,-1.56249952316284,-1.74999952316284,-1.69249951839447,-1.72249948978424,-1.7599995136261,-1.79499959945679,-1.63749957084656,-1.56999957561493,-1.74499952793121,-1.72749948501587,-1.78249955177307,-1.77499949932098,-1.74999952316284,-1.77249956130981,-1.63999950885773,-1.71749949455261,-1.79249954223633,-1.76249957084656,-1.57999956607819,-1.7599995136261,-1.75499951839447,-1.67999958992004,-1.77499949932098,-1.7874995470047,-1.79749953746796,-1.72749948501587,-1.58499956130981,-1.73499953746796,-1.74999952316284,-1.76499950885773,-1.79499959945679,-1.76499950885773,-1.7599995136261
"7382",-178.5,69.5,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.78249955177307,-1.79499959945679,-1.79499959945679,-1.75749957561493,-1.79249954223633,-1.79749953746796,-1.78249955177307,-1.79749953746796,-1.53499948978424,-1.75749957561493,-1.70999956130981,-1.71749949455261,-1.76499950885773,-1.79999959468842,-1.64499950408936,-1.54249954223633,-1.76749956607819,-1.74249958992004,-1.77999949455261,-1.7874995470047,-1.76499950885773,-1.77499949932098,-1.65249955654144,-1.73499953746796,-1.79749953746796,-1.77249956130981,-1.60749959945679,-1.77749955654144,-1.77999949455261,-1.69499957561493,-1.78499948978424,-1.79499959945679,-1.79999959468842,-1.74999952316284,-1.60749959945679,-1.73749959468842,-1.7599995136261,-1.7874995470047,-1.79749953746796,-1.77749955654144,-1.7874995470047
"7383",-177.5,69.5,-1.79749953746796,-1.79499959945679,-1.79749953746796,-1.79749953746796,-1.79749953746796,-1.77499949932098,-1.79249954223633,-1.79249954223633,-1.77749955654144,-1.78249955177307,-1.79499959945679,-1.78999948501587,-1.79749953746796,-1.48499953746796,-1.76499950885773,-1.70249950885773,-1.69499957561493,-1.75749957561493,-1.79999959468842,-1.65499949455261,-1.49749958515167,-1.77499949932098,-1.73749959468842,-1.77999949455261,-1.7874995470047,-1.76999950408936,-1.77499949932098,-1.62999951839447,-1.73999953269958,-1.79249954223633,-1.7599995136261,-1.62499952316284,-1.78499948978424,-1.76999950408936,-1.68499958515167,-1.77999949455261,-1.79499959945679,-1.79749953746796,-1.7524995803833,-1.57749950885773,-1.72749948501587,-1.76749956607819,-1.79499959945679,-1.78999948501587,-1.7874995470047,-1.79249954223633
"7384",-176.5,69.5,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.79999959468842,-1.73249959945679,-1.79499959945679,-1.78999948501587,-1.78999948501587,-1.76999950408936,-1.78249955177307,-1.79749953746796,-1.79999959468842,-1.46999955177307,-1.78499948978424,-1.71749949455261,-1.68499958515167,-1.75499951839447,-1.79999959468842,-1.66999959945679,-1.50749957561493,-1.77499949932098,-1.74999952316284,-1.78249955177307,-1.78499948978424,-1.7874995470047,-1.78499948978424,-1.67499959468842,-1.76499950885773,-1.77749955654144,-1.74249958992004,-1.65749955177307,-1.79499959945679,-1.76499950885773,-1.67749953269958,-1.77999949455261,-1.79749953746796,-1.79749953746796,-1.76249957084656,-1.54499959945679,-1.72249948978424,-1.78249955177307,-1.79749953746796,-1.79249954223633,-1.79749953746796,-1.79499959945679
"7385",-175.5,69.5,-1.79999959468842,-1.79999959468842,-1.79499959945679,-1.78999948501587,-1.79999959468842,-1.66749954223633,-1.79499959945679,-1.7874995470047,-1.79499959945679,-1.74749958515167,-1.76249957084656,-1.79999959468842,-1.79999959468842,-1.42249953746796,-1.79499959945679,-1.72749948501587,-1.66999959945679,-1.74749958515167,-1.79749953746796,-1.68249952793121,-1.54999959468842,-1.7599995136261,-1.7599995136261,-1.78499948978424,-1.76499950885773,-1.79499959945679,-1.79499959945679,-1.70249950885773,-1.77999949455261,-1.7249995470047,-1.72999954223633,-1.6899995803833,-1.79749953746796,-1.7524995803833,-1.59249949455261,-1.77999949455261,-1.79749953746796,-1.79749953746796,-1.76749956607819,-1.45749950408936,-1.71999955177307,-1.78499948978424,-1.79749953746796,-1.79499959945679,-1.79249954223633,-1.7874995470047
"7386",-174.5,69.5,-1.79499959945679,-1.79749953746796,-1.75499951839447,-1.68749952316284,-1.79749953746796,-1.61499953269958,-1.79249954223633,-1.77999949455261,-1.79499959945679,-1.71499955654144,-1.73749959468842,-1.79999959468842,-1.79499959945679,-1.35749959945679,-1.79999959468842,-1.71999955177307,-1.6624995470047,-1.72999954223633,-1.79499959945679,-1.67999958992004,-1.56249952316284,-1.70999956130981,-1.76249957084656,-1.7874995470047,-1.72999954223633,-1.79749953746796,-1.79749953746796,-1.60999953746796,-1.78249955177307,-1.67999958992004,-1.72749948501587,-1.69999957084656,-1.79499959945679,-1.73249959945679,-1.35999953746796,-1.77249956130981,-1.79749953746796,-1.79749953746796,-1.76499950885773,-1.3149995803833,-1.68249952793121,-1.7599995136261,-1.6974995136261,-1.74249958992004,-1.67749953269958,-1.74499952793121
"7387",-173.5,69.5,-1.79749953746796,-1.79499959945679,-1.72249948978424,-1.58999955654144,-1.79749953746796,-1.56999957561493,-1.7874995470047,-1.76499950885773,-1.79249954223633,-1.68749952316284,-1.71499955654144,-1.79749953746796,-1.78999948501587,-1.32749950885773,-1.79749953746796,-1.67499959468842,-1.67749953269958,-1.7249995470047,-1.78499948978424,-1.64749956130981,-1.58499956130981,-1.58749949932098,-1.75499951839447,-1.7874995470047,-1.67499959468842,-1.78999948501587,-1.79249954223633,-1.52999949455261,-1.77249956130981,-1.66999959945679,-1.73999953269958,-1.68499958515167,-1.78499948978424,-1.7249995470047,-1.2249995470047,-1.78249955177307,-1.79499959945679,-1.79499959945679,-1.76499950885773,-1.21249949932098,-1.63999950885773,-1.71749949455261,-1.35999953746796,-1.6349995136261,-1.48999953269958,-1.73499953746796
"7388",-172.5,69.5,-1.79999959468842,-1.79749953746796,-1.75499951839447,-1.5999995470047,-1.79249954223633,-1.54499959945679,-1.77499949932098,-1.76999950408936,-1.79249954223633,-1.67499959468842,-1.70999956130981,-1.7874995470047,-1.79499959945679,-1.35499954223633,-1.79249954223633,-1.57749950885773,-1.6974995136261,-1.73749959468842,-1.78249955177307,-1.5999995470047,-1.6349995136261,-1.39999949932098,-1.75749957561493,-1.79249954223633,-1.62249958515167,-1.78249955177307,-1.79499959945679,-1.42999958992004,-1.73249959945679,-1.68749952316284,-1.7599995136261,-1.64249956607819,-1.78249955177307,-1.74249958992004,-1.20499956607819,-1.79249954223633,-1.77749955654144,-1.79499959945679,-1.75499951839447,-1.14749956130981,-1.60999953746796,-1.6274995803833,-0.969999551773071,-1.36249959468842,-1.09249949455261,-1.72999954223633
"7389",-171.5,69.5,-1.7599995136261,-1.74749958515167,-1.74499952793121,-1.3849995136261,-1.76749956607819,-1.54999959468842,-1.74249958992004,-1.76999950408936,-1.7874995470047,-1.68249952793121,-1.71749949455261,-1.73999953269958,-1.79749953746796,-1.42999958992004,-1.77249956130981,-1.42249953746796,-1.70999956130981,-1.7524995803833,-1.77499949932098,-1.54249954223633,-1.61499953269958,-1.2524995803833,-1.71249949932098,-1.79249954223633,-1.60249948501587,-1.78249955177307,-1.78999948501587,-1.28499948978424,-1.67249953746796,-1.66749954223633,-1.74999952316284,-1.58999955654144,-1.77999949455261,-1.7524995803833,-1.1899995803833,-1.79499959945679,-1.58749949932098,-1.79499959945679,-1.74249958992004,-0.847499549388885,-1.45999956130981,-1.46749949455261,-0.529999554157257,-0.764999568462372,-0.502499520778656,-1.27499949932098
