"","year","SST"
"1","1975",1.92976782886074
"2","1976",1.73547261080239
"3","1977",2.25308564770967
"4","1978",2.6077664982369
"5","1979",3.09906305678863
"6","1980",2.49039947891489
"7","1981",3.04267342164221
"8","1982",2.48303245959625
"9","1983",2.84367076026157
"10","1984",2.61782633949274
"11","1985",2.30216809890134
"12","1986",2.73427581545362
"13","1987",2.72781304743617
"14","1988",2.71055905122875
"15","1989",2.77172926971887
"16","1990",2.72082501706826
"17","1991",2.52961490139306
"18","1992",2.73087156337111
"19","1993",2.93402315080265
"20","1994",2.6232119733864
"21","1995",2.70337154939672
"22","1996",3.07162953750726
"23","1997",3.139036453225
"24","1998",2.60299921575736
"25","1999",2.25275985130847
"26","2000",2.70410294004498
"27","2001",2.83734762467484
"28","2002",3.01853114370494
"29","2003",3.25408300552319
"30","2004",2.98922262628107
"31","2005",3.09901650504586
"32","2006",2.59866411259715
"33","2007",2.56779974419128
"34","2008",2.36575851342492
"35","2009",2.65325187927389
"36","2010",2.45043936758451
"37","2011",2.80545932383455
"38","2012",2.11682899577295
"39","2013",2.64760693988981
"40","2014",3.38622394826342
"41","2015",3.40419603515654
"42","2016",3.77364416592854
"43","2017",3.28357102546563
"44","2018",3.43584496773621
"45","2019",3.74408965029858
"46","2020",3.40525985513368
