OBJECTID,GEAR_NAME,HAUL_ID,CRUISE,NET,FOCI_GRID,LAT,LON,STATION_NAME,HAUL_NAME,GMT_DATE_TIME,BOTTOM_DEPTH,HAUL_PERFORMANCE,MESH,PURPOSE,PRIMARY_NET,MIN_GEAR_DEPTH,MAX_GEAR_DEPTH,VOLUME_FILTERED,GEOGRAPHIC_AREA,COMMENTS_HAUL,POLYGONAL_AREA,MONTH_,YEAR_,DAY_,SHIP_CRUISE_NAME,SHIP_NAME,COMMENTS_SAMPLES,species_name,COMMON_NAME_1,COMMENTS_SPECIMEN,LARVALCATCHPER1000M3,LARVALCATCHPER10M2,STAGE_NAME,SPECIES_NAME_1,SPECIES_CODE_ICHBASE,SPECIES_NAME_ICHBASE,COMMON_NAME_ICHBASE
1,60BON,4MF94 155 4 60BON 1,4MF94,1,,53.51,-167.57829,155,4,4/30/1994 4:06,71,GOOD,333,PLNKSURV,Y,0,71,133.3522,BS,,,4,1994,30,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,262.46286,186.34863,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
2,60BON,4MF94 20 1 60BON 1,4MF94,1,,55.07,-168.5817,20,1,4/17/1994 10:05,1850,GOOD,333,GRID,Y,0,203,262.36389,BS,,744.97,4,1994,17,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,3.8115,7.73735,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
3,60BON,4MF94 29 1 60BON 1,4MF94,1,,55.22,-167.26669,29,1,4/18/1994 1:51,145,GOOD,333,GRID,Y,0,141,196.3152,BS,,732.18,4,1994,18,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,0,0,Egg,,,,
4,60BON,4MF94 30 2 60BON 1,4MF94,1,,55.00833,-167.0517,30,2,4/18/1994 3:57,161,GOOD,333,GRID,Y,0,152,238.304,BS,,751.01,4,1994,18,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,4.19632,6.37841,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
5,60BON,4MF94 31 2 60BON 1,4MF94,1,,54.88833,-167.4083,31,2,4/18/1994 6:12,432,GOOD,333,GRID,Y,0,200,287.1622,BS,,757.49,4,1994,18,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,3.48235,6.9647,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
6,60BON,4MF94 32 1 60BON 1,4MF94,1,,54.75667,-167.78169,32,1,4/18/1994 8:18,1140,GOOD,333,GRID,Y,0,203,251.3775,BS,,758.09,4,1994,18,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,0,0,Egg,,,,
7,60BON,4WE97 91 2 60BON 1,4WE97,1,C5,56.91033,-169.67317,91,2,7/9/1997 5:14,69,GOOD,333,PLNKSURV,Y,0,60,104.14695,BS,30 seconds at sruface.,,7,1997,9,WE97-06C,Wecoma,,Gadus chalcogrammus,,,0,0,Egg,,,,
8,60BON,4MF94 47 1 60BON 1,4MF94,1,,54.325,-167.35671,47,1,4/19/1994 16:20,834,GOOD,333,GRID,Y,0,202,269.74991,BS,,752.56,4,1994,19,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,0,0,Egg,,,,
9,60BON,4MF07 5 2 60BON 1,4MF07,1,BV25,55.41167,-169.36533,5,2,5/8/2007 17:47,2364,GOOD,505,GRID,Y,0,301,408.73367,BS,,753.211,5,2007,8,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,0,0,Egg,,,,
10,60BON,4MF07 22 2 60BON 1,4MF07,1,BY31,55.72917,-170.16516,22,2,5/10/2007 15:06,2428,QUEST,505,GRID,Y,0,302,358.30121,BS,Wire angle at 34 deg.,754.7758,5,2007,10,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,0,0,Egg,,,,
11,60BON,4MF94 124 1 60BON 1,4MF94,1,,55.23333,-165.4617,124,1,4/26/1994 11:34,118,GOOD,333,PLNKSURV,Y,0,111,158.1447,BS,,,4,1994,26,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,208.66966,231.62332,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
12,60BON,4MF94 127 1 60BON 2,4MF94,2,,54.68333,-165.39169,127,1,4/26/1994 16:41,177,GOOD,333,GRID,NPQ,0,175,209.87199,BS,,,4,1994,26,MF94-04,Miller Freeman,Sample_Type corrected from 4 to 4. (1/19/2015),Gadus chalcogrammus,,record added (1/28/2011),4550.39284,7963.18746,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
13,60BON,4MF07 74 2 60BON 1,4MF07,1,CN40,55.79016,-172.63367,74,2,5/15/2007 23:40,3205,GOOD,505,GRID,Y,0,302,387.37268,BS,,873.9733,5,2007,15,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,0,0,Egg,,,,
14,60BON,BE13-03 172 2 60BON 1,BE13-03,1,,63.49245,-165.99901,172,2,9/17/2013 16:04,25,QUEST,505,PLNKSURV,Y,0,17,42.49383,BS,all log sheets were lost at sea due to ship flooding. Volume filtered value was recreated based on a comparison of previous year's volume filtered data. haul performance noted as questionable. Arctic EIS project.,,9,2013,17,BE13-03,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Egg,,,,
15,60BON,BE13-03 176 2 60BON 1,BE13-03,1,,63.00184,-167.00956,176,2,9/19/2013 3:19,26,QUEST,505,PLNKSURV,Y,0,18,36.63332,BS,all log sheets were lost at sea due to ship flooding. Volume filtered value was recreated based on a comparison of previous year's volume filtered data. haul performance noted as questionable. Arctic EIS project.,,9,2013,19,BE13-03,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Egg,,,,
16,60BON,4DY10 11 1 60BON 1,4DY10,1,,56.00402,-163.9975,11,1,8/21/2010 3:59,92,GOOD,505,PLNKSURV,Y,0,82,223.2488,BS,A BASIS Project; Station ID 20103011. Volume filtered provided by collecting agency.,,8,2010,21,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
17,60BON,BE13-03 195 2 60BON 1,BE13-03,1,,60.51539,-168.00882,195,2,9/24/2013 16:07,30,QUEST,505,PLNKSURV,Y,0,20,21.49008,BS,all log sheets were lost at sea due to ship flooding. Volume filtered value was recreated based on a comparison of previous year's volume filtered data. haul performance noted as questionable. Arctic EIS project.,,9,2013,24,BE13-03,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Egg,,,,
18,60BON,2DY10 87 2 60BON 2,2DY10,2,BM34,56.43033,-168.89867,87,2,5/16/2010 3:08,113,GOOD,500,GRID,Y,0,105,233.54387,BS,1 jelly in 60Bon Net 1,1089.823,5,2010,16,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,1151.81786,1209.40875,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
19,60BON,1WE10 63 2 60BON 1,1WE10,1,70M41,59.97633,-172.7475,63,2,8/28/2010 13:38,71,GOOD,505,PLNKSURV,Y,0,60,111.25181,BS,1 Jelly in60BON Net 1,,8,2010,28,WE10-08,Wecoma,,Gadus chalcogrammus,,,0,0,Egg,,,,
20,60BON,3MF08 33 1 60BON 1,3MF08,1,W10,56.35067,-161.81183,33,1,9/16/2008 0:28,79,GOOD,500,GRID,Y,0,79,136.67239,BS,,1652.66,9,2008,16,MF08-10,Miller Freeman,,Gadus chalcogrammus,,,14.63353,11.56049,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
21,60BON,3TT05 64 2 60BON 1,3TT05,1,70M05,61.7345,-173.85417,64,2,5/21/2005 20:22,75,GOOD,333,PLNKSURV,Y,0,65,49.20584,BS,Flowmeter revs < AVG - 2 SD.,,5,2005,21,TN179C,Thomas G. Thompson,,Gadus chalcogrammus,,,0,0,Egg,,,,
22,60BON,3MF08 45 1 60BON 1,3MF08,1,AR7,55.2815,-164.30833,45,1,9/19/2008 11:25,93,GOOD,500,GRID,Y,0,84,140.16673,BS,,1282.826,9,2008,19,MF08-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Egg,,,,
