OBJECTID,GEAR_NAME,HAUL_ID,CRUISE,HAUL_NAME,NET,FOCI_GRID,BOTTOM_DEPTH,HAUL_PERFORMANCE,MESH,LAT,LON,PURPOSE,PRIMARY_NET,MIN_GEAR_DEPTH,MAX_GEAR_DEPTH,VOLUME_FILTERED,GEOGRAPHIC_AREA,GMT_DATE_TIME,COMMENTS_HAUL,POLYGONAL_AREA,STATION_NAME,MONTH_,YEAR_,DAY_,SHIP_CRUISE_NAME,SHIP_NAME,COMMENTS_SAMPLES,species_name,COMMON_NAME_1,COMMENTS_SPECIMEN,LARVALCATCHPER1000M3,LARVALCATCHPER10M2,STAGE_NAME,SPECIES_NAME_1,SPECIES_CODE_ICHBASE,SPECIES_NAME_ICHBASE,COMMON_NAME_ICHBASE
1,60BON,4MF94 155 4 60BON 1,4MF94,4,1,,71,GOOD,333,53.51,-167.57829,PLNKSURV,Y,0,71,133.3522,BS,1994-04-30 4:06,,,155,4,1994,30,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,67.49045,47.91822,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
2,60BON,4MF94 20 1 60BON 1,4MF94,1,1,,1850,GOOD,333,55.07,-168.5817,GRID,Y,0,203,262.36389,BS,1994-04-17 10:05,,744.97,20,4,1994,17,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,320.16601,649.937,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
3,60BON,4MF94 29 1 60BON 1,4MF94,1,1,,145,GOOD,333,55.22,-167.26669,GRID,Y,0,141,196.3152,BS,1994-04-18 1:51,,732.18,29,4,1994,18,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
4,60BON,4MF94 30 2 60BON 1,4MF94,2,1,,161,GOOD,333,55.00833,-167.0517,GRID,Y,0,152,238.304,BS,1994-04-18 3:57,,751.01,30,4,1994,18,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,12.58896,19.13522,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
5,60BON,4MF94 31 2 60BON 1,4MF94,2,1,,432,GOOD,333,54.88833,-167.4083,GRID,Y,0,200,287.1622,BS,1994-04-18 6:12,,757.49,31,4,1994,18,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,365.64701,731.29402,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
6,60BON,4MF94 32 1 60BON 1,4MF94,1,1,,1140,GOOD,333,54.75667,-167.78169,GRID,Y,0,203,251.3775,BS,1994-04-18 8:18,,758.09,32,4,1994,18,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,163.10131,331.09566,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
7,60BON,4WE97 91 2 60BON 1,4WE97,2,1,C5,69,GOOD,333,56.91033,-169.67317,PLNKSURV,Y,0,60,104.14695,BS,1997-07-09 5:14,30 seconds at sruface.,,91,7,1997,9,WE97-06C,Wecoma,,Gadus chalcogrammus,,,2486.87071,1492.12243,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
8,60BON,4MF94 47 1 60BON 1,4MF94,1,1,,834,GOOD,333,54.325,-167.35671,GRID,Y,0,202,269.74991,BS,1994-04-19 16:20,,752.56,47,4,1994,19,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,63.02134,127.3031,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
9,60BON,4MF07 5 2 60BON 1,4MF07,2,1,BV25,2364,GOOD,505,55.41167,-169.36533,GRID,Y,0,301,408.73367,BS,2007-05-08 17:47,,753.211,5,5,2007,8,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,17.12607,51.54946,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
10,60BON,4MF07 22 2 60BON 1,4MF07,2,1,BY31,2428,QUEST,505,55.72917,-170.16516,GRID,Y,0,302,358.30121,BS,2007-05-10 15:06,Wire angle at 34 deg.,754.7758,22,5,2007,10,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,19.53664,59.00064,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
11,60BON,4MF94 124 1 60BON 1,4MF94,1,1,,118,GOOD,333,55.23333,-165.4617,PLNKSURV,Y,0,111,158.1447,BS,1994-04-26 11:34,,,124,4,1994,26,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,151.75975,168.45332,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
12,60BON,4MF94 127 1 60BON 2,4MF94,1,2,,177,GOOD,333,54.68333,-165.39169,GRID,NPQ,0,175,209.87199,BS,1994-04-26 16:41,,,127,4,1994,26,MF94-04,Miller Freeman,Sample_Type corrected from 4 to 4. (1/19/2015),Gadus chalcogrammus,,record added (1/28/2011),1353.20583,2368.1102,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
