"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","reg.SST"
"1",1,"4MF94","155",4,"1994-04-30 4:06","4MF94 155 4 60BON 1",0,0,1994,4,53.51,-167.57829,120,133.3522,71,"4MF94_53.51_-167.57829_1994-04-30 4:06_333",0,158,"4/30/1994",261909,2.19237502478063
"2",3,"4MF94","29",1,"1994-04-18 1:51","4MF94 29 1 60BON 1",0,0,1994,4,55.22,-167.26669,108,196.3152,145,"4MF94_55.22_-167.26669_1994-04-18 1:51_333",0,158,"4/18/1994",261909,2.19237502478063
"3",18,"2DY10","87",2,"2010-05-16 3:08","2DY10 87 2 60BON 2",0,0,2010,5,56.43033,-168.89867,136,233.54387,113,"2DY10_56.43033_-168.89867_2010-05-16 3:08_500",0,370,"5/16/2010",227957,1.7191427893056
"4",21,"3TT05","64",2,"2005-05-21 20:22","3TT05 64 2 60BON 1",13.20981,20.32279,2005,5,61.7345,-173.85417,141,49.20584,75,"3TT05_61.7345_-173.85417_2005-05-21 20:22_333",1,283,"5/21/2005",249168,2.72058632295719
"5",24,"3MF06","28",2,"2006-05-12 20:10","3MF06 28 2 60BON 1",0,0,2006,5,55.1365,-166.65033,132,203.21555,142,"3MF06_55.1365_-166.65033_2006-05-12 20:10_505",0,442,"5/12/2006",242629,2.42155912848945
"6",25,"3DY08","37",2,"2008-05-17 4:38","3DY08 37 2 60BON 1",0,0,2008,5,56.08417,-163.58566,137,114.18797,91,"3DY08_56.08417_-163.58566_2008-05-17 4:38_335",0,331,"5/17/2008",227649,1.64111977631312
"7",26,"3TT05","1",2,"2005-05-16 2:40","3TT05 1 2 60BON 1",0,0,2005,5,57.32784,-169.922,136,90.4128,58,"3TT05_57.32784_-169.922_2005-05-16 2:40_333",0,283,"5/16/2005",249168,2.72058632295719
"8",27,"3MF06","76",2,"2006-05-17 9:11","3MF06 76 2 60BON 1",36.13668,57.3598,2006,5,56.56167,-162.01817,137,122.03668,72,"3MF06_56.56167_-162.01817_2006-05-17 9:11_505",7,442,"5/17/2006",242629,2.42155912848945
"9",28,"3MF06","83",2,"2006-05-18 0:08","3MF06 83 2 60BON 2",466.83606,765.30502,2006,5,56.58217,-161.00717,138,125.44018,71,"3MF06_56.58217_-161.00717_2006-05-18 0:08_505",96,442,"5/18/2006",242629,2.42155912848945
"10",30,"3MF06","22",2,"2006-05-12 2:53","3MF06 22 2 60BON 1",0,0,2006,5,54.013,-166.60117,132,104.74217,73,"3MF06_54.013_-166.60117_2006-05-12 2:53_505",0,442,"5/12/2006",242629,2.42155912848945
"11",35,"3DY08","48",2,"2008-05-19 11:05","3DY08 48 2 60BON 1",0,0,2008,5,55.92517,-164.35217,139,149.0491,95,"3DY08_55.92517_-164.35217_2008-05-19 11:05_335",0,331,"5/19/2008",227649,1.64111977631312
"12",38,"3DY09","69",2,"2009-05-15 22:15","3DY09 69 2 60BON 1",0,0,2009,5,55.369,-165.90067,135,195.95366,121,"3DY09_55.369_-165.90067_2009-05-15 22:15_505",0,311,"5/15/2009",225280,2.01650680783778
"13",40,"4MF94","147",4,"1994-04-28 23:04","4MF94 147 4 60BON 1",0,0,1994,4,54.1,-166.23171,118,120.4607,80,"4MF94_54.1_-166.23171_1994-04-28 23:04_333",0,158,"4/28/1994",261909,2.19237502478063
"14",43,"4MF07","30",3,"2007-05-11 11:11","4MF07 30 3 60BON 1",0,0,2007,5,56.54583,-168.51849,131,172.10297,110,"4MF07_56.54583_-168.51849_2007-05-11 11:11_505",0,446,"5/11/2007",234261,2.04821184732869
"15",47,"4MF94","141",4,"1994-04-28 1:04","4MF94 141 4 60BON 1",6.23458,7.89187,1994,4,54.525,-165.3967,118,126.7126,82,"4MF94_54.525_-165.3967_1994-04-28 1:04_333",1,158,"4/28/1994",261909,2.19237502478063
"16",51,"5MF00","45",1,"2000-05-11 12:23","5MF00 45 1 60BON 1",0,0,2000,5,56.42433,-163.41667,131,121.33609,85,"5MF00_56.42433_-163.41667_2000-05-11 12:23_333",0,54,"5/11/2000",248451,2.12279342133638
"17",69,"2DY12","38",1,"2012-05-19 13:54","2DY12 38 1 60BON 1",0,0,2012,5,55.9475,-164.958,139,176.2998,97,"2DY12_55.9475_-164.958_2012-05-19 13:54_505",0,429,"5/19/2012",234044,1.39350471514663
"18",74,"2DY12","89",1,"2012-05-23 6:35","2DY12 89 1 60BON 1",1133.22296,1491.08284,2012,5,56.682,-161.6287,143,103.9513,89,"2DY12_56.682_-161.6287_2012-05-23 6:35_505",155,429,"5/23/2012",234044,1.39350471514663
"19",77,"2DY12","127",1,"2012-05-26 1:18","2DY12 127 1 60BON 1",15.1691,12.96504,2012,5,56.449,-167.9343,146,308.5219,127,"2DY12_56.449_-167.9343_2012-05-26 1:18_505",4,429,"5/26/2012",234044,1.39350471514663
"20",78,"2DY12","171",1,"2012-05-30 18:51","2DY12 171 1 60BON 1",124.77054,271.2403,2012,5,57.30867,-169.7748,150,114.2898,56,"2DY12_57.30867_-169.7748_2012-05-30 18:51_505",31,429,"5/30/2012",234044,1.39350471514663
"21",80,"2DY12","42",1,"2012-05-19 20:45","2DY12 42 1 60BON 1",0,0,2012,5,55.069,-164.1228,139,85.9039,34,"2DY12_55.069_-164.1228_2012-05-19 20:45_505",0,429,"5/19/2012",234044,1.39350471514663
"22",82,"2DY12","180",1,"2012-05-31 9:39","2DY12 180 1 60BON 1",856.07304,1297.08037,2012,5,57.97133,-170.4365,151,191.9696,78,"2DY12_57.97133_-170.4365_2012-05-31 9:39_505",249,429,"5/31/2012",234044,1.39350471514663
"23",83,"2DY12","159",2,"2012-05-29 23:30","2DY12 159 2 60BON 1",4.33983,4.66648,2012,5,56.30067,-170.2053,149,214.2942,114,"2DY12_56.30067_-170.2053_2012-05-29 23:30_505",1,429,"5/29/2012",234044,1.39350471514663
"24",84,"2DY12","186",1,"2012-05-31 18:11","2DY12 186 1 60BON 1",1631.93784,2065.7441,2012,5,58.06833,-171.0282,151,153.4556,89,"2DY12_58.06833_-171.0282_2012-05-31 18:11_505",317,429,"5/31/2012",234044,1.39350471514663
"25",85,"2DY12","59",1,"2012-05-20 23:30","2DY12 59 1 60BON 1",418.48844,529.73221,2012,5,55.86666,-163.374,140,126.479,90,"2DY12_55.86666_-163.374_2012-05-20 23:30_505",67,429,"5/20/2012",234044,1.39350471514663
"26",86,"2DY12","80",2,"2012-05-22 16:58","2DY12 80 2 60BON 1",391.91847,602.9515,2012,5,56.66,-162.6413,142,101.169,76,"2DY12_56.66_-162.6413_2012-05-22 16:58_505",61,429,"5/22/2012",234044,1.39350471514663
"27",87,"2DY12","82",1,"2012-05-22 20:04","2DY12 82 1 60BON 1",491.68313,723.06342,2012,5,56.22333,-162.1983,142,91.2783,78,"2DY12_56.22333_-162.1983_2012-05-22 20:04_505",66,429,"5/22/2012",234044,1.39350471514663
"28",88,"2DY12","139",1,"2012-05-27 7:35","2DY12 139 1 60BON 1",505.7279,842.87984,2012,5,57.98466,-169.4705,147,149.4875,70,"2DY12_57.98466_-169.4705_2012-05-27 7:35_505",126,429,"5/27/2012",234044,1.39350471514663
"29",89,"2DY12","140",1,"2012-05-27 9:01","2DY12 140 1 60BON 1",660.54813,1032.10645,2012,5,57.86783,-169.8418,147,138.5516,73,"2DY12_57.86783_-169.8418_2012-05-27 9:01_505",143,429,"5/27/2012",234044,1.39350471514663
"30",91,"2DY12","191",1,"2012-06-01 2:17","2DY12 191 1 60BON 1",721.88787,729.17967,2012,6,57.71217,-172.1202,152,233.1387,109,"2DY12_57.71217_-172.1202_2012-06-01 2:17_505",170,429,"6/1/2012",234044,1.39350471514663
"31",92,"DY14-06","170",1,"2014-06-03 2:13","DY14-06 170 1 60BON 1",0,0,2014,6,56.9495,-170.8672,154,159.51708,103,"DY14-06_56.9495_-170.8672_2014-06-03 2:13_505",0,521,"6/3/2014",228355,2.35558631629625
"32",93,"DY14-06","103",1,"2014-05-28 5:51","DY14-06 103 1 60BON 1",0,0,2014,5,56.6027,-165.5917,148,146.96837,80,"DY14-06_56.6027_-165.5917_2014-05-28 5:51_505",0,521,"5/28/2014",228355,2.35558631629625
"33",94,"DY14-06","121",1,"2014-05-29 9:54","DY14-06 121 1 60BON 1",4.485,7.11905,2014,5,57.0453,-166.0402,149,140.46822,73,"DY14-06_57.0453_-166.0402_2014-05-29 9:54_505",1,521,"5/29/2014",228355,2.35558631629625
"34",95,"DY14-05","47",2,"2014-05-11 6:44","DY14-05 47 2 60BON 1",54.6695,84.10693,2014,5,58.0395,-169.6802,131,118.89627,70,"DY14-05_58.0395_-169.6802_2014-05-11 6:44_505",10,521,"5/11/2014",228355,2.35558631629625
"35",96,"DY14-06","172",1,"2014-06-03 5:51","DY14-06 172 1 60BON 1",0,0,2014,6,57.2282,-170.022,154,62.43945,37,"DY14-06_57.2282_-170.022_2014-06-03 5:51_505",0,521,"6/3/2014",228355,2.35558631629625
"36",97,"DY14-06","162",1,"2014-06-02 13:32","DY14-06 162 1 60BON 2",0,0,2014,6,57.3283,-168.7978,153,131.40236,74,"DY14-06_57.3283_-168.7978_2014-06-02 13:32_505",0,521,"6/2/2014",228355,2.35558631629625
"37",98,"DY14-05","8",3,"2014-05-07 23:38","DY14-05 8 3 60BON 1",5.53637,13.18182,2014,5,54.4388,-164.9883,127,75.86204,52,"DY14-05_54.4388_-164.9883_2014-05-07 23:38_505",1,521,"5/7/2014",228355,2.35558631629625
"38",103,"5MF05","32",2,"2005-05-13 17:08","5MF05 32 2 60BON 2",177.79747,378.2925,2005,5,56.92433,-159.83949,133,55.5126,56,"5MF05_56.92433_-159.83949_2005-05-13 17:08_505",21,283,"5/13/2005",249168,2.72058632295719
"39",104,"5MF05","35",2,"2005-05-14 0:15","5MF05 35 2 60BON 1",286.2362,502.16877,2005,5,57.04117,-160.45117,134,49.78406,66,"5MF05_57.04117_-160.45117_2005-05-14 0:15_505",25,283,"5/14/2005",249168,2.72058632295719
"40",105,"5MF05","43",2,"2005-05-14 19:03","5MF05 43 2 60BON 1",80.38864,133.98106,2005,5,56.4655,-161.4155,134,97.02864,69,"5MF05_56.4655_-161.4155_2005-05-14 19:03_505",13,283,"5/14/2005",249168,2.72058632295719
"41",106,"5MF05","59",3,"2005-05-16 6:14","5MF05 59 3 60BON 1",0,0,2005,5,55.87083,-163.3725,136,105.258,90,"5MF05_55.87083_-163.3725_2005-05-16 6:14_505",0,283,"5/16/2005",249168,2.72058632295719
"42",109,"5MF05","98",2,"2005-05-18 7:31","5MF05 98 2 60BON 1",0,0,2005,5,55.48617,-165.52049,138,147.43117,115,"5MF05_55.48617_-165.52049_2005-05-18 7:31_505",0,283,"5/18/2005",249168,2.72058632295719
"43",123,"3MF93","116",1,"1993-04-30 0:58","3MF93 116 1 60BON 1",0,0,1993,4,54.10833,-166.28,120,112.35253,90,"3MF93_54.10833_-166.28_1993-04-30 0:58_333",0,119,"4/30/1993",268008,2.2848122641717
"44",124,"3MF93","124",1,"1993-04-30 9:26","3MF93 124 1 60BON 1",0,0,1993,4,54.045,-166.46831,120,146.62599,136,"3MF93_54.045_-166.46831_1993-04-30 9:26_333",0,119,"4/30/1993",268008,2.2848122641717
"45",125,"3MF93","13",1,"1993-04-17 4:28","3MF93 13 1 60BON 1",0,0,1993,4,55.34667,-166.88001,107,200.18201,136,"3MF93_55.34667_-166.88001_1993-04-17 4:28_333",0,119,"4/17/1993",268008,2.2848122641717
"46",130,"3MF93","8",1,"1993-04-16 19:34","3MF93 8 1 60BON 1",0,0,1993,4,54.26333,-165.82671,106,96.25185,79,"3MF93_54.26333_-165.82671_1993-04-16 19:34_333",0,119,"4/16/1993",268008,2.2848122641717
"47",149,"1MF99","10",1,"1999-04-14 17:28","1MF99 10 1 60BON 1",0,0,1999,4,56.18083,-164.1872,104,120.51318,92,"1MF99_56.18083_-164.1872_1999-04-14 17:28_505",0,112,"4/14/1999",246131,2.00947751157048
"48",150,"1MF99","22",1,"1999-04-15 19:28","1MF99 22 1 60BON 1",0,0,1999,4,55.72633,-164.7475,105,144.06953,98,"1MF99_55.72633_-164.7475_1999-04-15 19:28_505",0,112,"4/15/1999",246131,2.00947751157048
"49",153,"1MF99","45",1,"1999-04-18 0:34","1MF99 45 1 60BON 1",0,0,1999,4,57.0175,-164.21401,108,133.06911,70,"1MF99_57.0175_-164.21401_1999-04-18 0:34_505",0,112,"4/18/1999",246131,2.00947751157048
"50",154,"1MF99","9",1,"1999-04-14 15:58","1MF99 9 1 60BON 1",0,0,1999,4,55.96233,-163.97321,104,130.05446,95,"1MF99_55.96233_-163.97321_1999-04-14 15:58_505",0,112,"4/14/1999",246131,2.00947751157048
"51",182,"7MF95","106",1,"1995-05-13 23:01","7MF95 106 1 60BON 1",6.18154,7.92505,1995,5,55.4035,-163.9382,133,126.18214,83,"7MF95_55.4035_-163.9382_1995-05-13 23:01_333",1,275,"5/13/1995",257129,2.12100473001101
"52",183,"7MF95","108",1,"1995-05-14 2:15","7MF95 108 1 60BON 1",61.2817,107.51175,1995,5,55.643,-163.15649,134,74.41047,67,"7MF95_55.643_-163.15649_1995-05-14 2:15_333",8,275,"5/14/1995",257129,2.12100473001101
"53",184,"7MF95","22",1,"1995-05-06 11:08","7MF95 22 1 60BON 1",14.68676,24.89282,1995,5,57.18033,-164.67171,126,120.51667,69,"7MF95_57.18033_-164.67171_1995-05-06 11:08_333",3,275,"5/6/1995",257129,2.12100473001101
