"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","Link_ID","temperature","salinity","CTD_date","CTD_link"
"4",18,"2DY10",87,2,"2010-05-16 3:08","2DY10 87 2 60BON 2",0,0,2010,5,56.43033,-168.89867,136,233.54387,113,"2DY10_56.43033_-168.89867_2010-05-16 3:08_500",0,370,"5/16/2010",227957,"2DY10_87_2",1.54033636363636,31.2211272727273,"5/16/2010","2DY10_87_2"
"5",24,"3MF06",28,2,"2006-05-12 20:10","3MF06 28 2 60BON 1",0,0,2006,5,55.1365,-166.65033,132,203.21555,142,"3MF06_55.1365_-166.65033_2006-05-12 20:10_505",0,442,"5/12/2006",242629,"3MF06_28_2",3.67884545454545,32.0306181818182,"5/12/2006","3MF06_28_2"
"6",27,"3MF06",76,2,"2006-05-17 9:11","3MF06 76 2 60BON 1",36.13668,57.3598,2006,5,56.56167,-162.01817,137,122.03668,72,"3MF06_56.56167_-162.01817_2006-05-17 9:11_505",7,442,"5/17/2006",242629,"3MF06_76_2",2.76964545454545,31.8680545454545,"5/17/2006","3MF06_76_2"
"7",28,"3MF06",83,2,"2006-05-18 0:08","3MF06 83 2 60BON 2",466.83606,765.30502,2006,5,56.58217,-161.00717,138,125.44018,71,"3MF06_56.58217_-161.00717_2006-05-18 0:08_505",96,442,"5/18/2006",242629,"3MF06_83_2",2.74420909090909,31.7276090909091,"5/18/2006","3MF06_83_2"
"8",30,"3MF06",22,2,"2006-05-12 2:53","3MF06 22 2 60BON 1",0,0,2006,5,54.013,-166.60117,132,104.74217,73,"3MF06_54.013_-166.60117_2006-05-12 2:53_505",0,442,"5/12/2006",242629,"3MF06_22_2",4.22193636363636,32.7883636363636,"5/12/2006","3MF06_22_2"
"10",38,"3DY09",69,2,"2009-05-15 22:15","3DY09 69 2 60BON 1",0,0,2009,5,55.369,-165.90067,135,195.95366,121,"3DY09_55.369_-165.90067_2009-05-15 22:15_505",0,311,"5/15/2009",225280,"3DY09_69_2",3.83456363636364,31.8050181818182,"5/15/2009","3DY09_69_2"
"12",43,"4MF07",30,3,"2007-05-11 11:11","4MF07 30 3 60BON 1",0,0,2007,5,56.54583,-168.51849,131,172.10297,110,"4MF07_56.54583_-168.51849_2007-05-11 11:11_505",0,446,"5/11/2007",234261,"4MF07_30_3",2.25953636363636,31.9679545454545,"5/11/2007","4MF07_30_3"
"16",51,"5MF00",45,1,"2000-05-11 12:23","5MF00 45 1 60BON 1",0,0,2000,5,56.42433,-163.41667,131,121.33609,85,"5MF00_56.42433_-163.41667_2000-05-11 12:23_333",0,54,"5/11/2000",248451,"5MF00_45_1",1.6211,31.96493,"5/11/2000","5MF00_45_1"
"18",69,"2DY12",38,1,"2012-05-19 13:54","2DY12 38 1 60BON 1",0,0,2012,5,55.9475,-164.958,139,176.2998,97,"2DY12_55.9475_-164.958_2012-05-19 13:54_505",0,429,"5/19/2012",234044,"2DY12_38_1",1.18093636363636,31.8602727272727,"5/19/2012","2DY12_38_1"
"19",74,"2DY12",89,1,"2012-05-23 6:35","2DY12 89 1 60BON 1",1133.22296,1491.08284,2012,5,56.682,-161.6287,143,103.9513,89,"2DY12_56.682_-161.6287_2012-05-23 6:35_505",155,429,"5/23/2012",234044,"2DY12_89_1",1.76856363636364,31.4617454545455,"5/23/2012","2DY12_89_1"
"20",77,"2DY12",127,1,"2012-05-26 1:18","2DY12 127 1 60BON 1",15.1691,12.96504,2012,5,56.449,-167.9343,146,308.5219,127,"2DY12_56.449_-167.9343_2012-05-26 1:18_505",4,429,"5/26/2012",234044,"2DY12_127_1",1.55017272727273,31.7308727272727,"5/26/2012","2DY12_127_1"
"21",78,"2DY12",171,1,"2012-05-30 18:51","2DY12 171 1 60BON 1",124.77054,271.2403,2012,5,57.30867,-169.7748,150,114.2898,56,"2DY12_57.30867_-169.7748_2012-05-30 18:51_505",31,429,"5/30/2012",234044,"2DY12_171_1",0.292963636363636,31.6051454545455,"5/30/2012","2DY12_171_1"
"22",80,"2DY12",42,1,"2012-05-19 20:45","2DY12 42 1 60BON 1",0,0,2012,5,55.069,-164.1228,139,85.9039,34,"2DY12_55.069_-164.1228_2012-05-19 20:45_505",0,429,"5/19/2012",234044,"2DY12_42_1",2.69781818181818,31.6078818181818,"5/19/2012","2DY12_42_1"
"23",82,"2DY12",180,1,"2012-05-31 9:39","2DY12 180 1 60BON 1",856.07304,1297.08037,2012,5,57.97133,-170.4365,151,191.9696,78,"2DY12_57.97133_-170.4365_2012-05-31 9:39_505",249,429,"5/31/2012",234044,"2DY12_180_1",0.156872727272727,31.7904363636364,"5/31/2012","2DY12_180_1"
"24",83,"2DY12",159,2,"2012-05-29 23:30","2DY12 159 2 60BON 1",4.33983,4.66648,2012,5,56.30067,-170.2053,149,214.2942,114,"2DY12_56.30067_-170.2053_2012-05-29 23:30_505",1,429,"5/29/2012",234044,"2DY12_159_2",1.79239090909091,31.8673818181818,"5/29/2012","2DY12_159_2"
"25",84,"2DY12",186,1,"2012-05-31 18:11","2DY12 186 1 60BON 1",1631.93784,2065.7441,2012,5,58.06833,-171.0282,151,153.4556,89,"2DY12_58.06833_-171.0282_2012-05-31 18:11_505",317,429,"5/31/2012",234044,"2DY12_186_1",-0.0321181818181818,31.7837727272727,"5/31/2012","2DY12_186_1"
"26",85,"2DY12",59,1,"2012-05-20 23:30","2DY12 59 1 60BON 1",418.48844,529.73221,2012,5,55.86666,-163.374,140,126.479,90,"2DY12_55.86666_-163.374_2012-05-20 23:30_505",67,429,"5/20/2012",234044,"2DY12_59_1",2.63074545454545,31.8195545454545,"5/20/2012","2DY12_59_1"
"27",86,"2DY12",80,2,"2012-05-22 16:58","2DY12 80 2 60BON 1",391.91847,602.9515,2012,5,56.66,-162.6413,142,101.169,76,"2DY12_56.66_-162.6413_2012-05-22 16:58_505",61,429,"5/22/2012",234044,"2DY12_80_2",1.40849090909091,31.0771909090909,"5/22/2012","2DY12_80_2"
"28",87,"2DY12",82,1,"2012-05-22 20:04","2DY12 82 1 60BON 1",491.68313,723.06342,2012,5,56.22333,-162.1983,142,91.2783,78,"2DY12_56.22333_-162.1983_2012-05-22 20:04_505",66,429,"5/22/2012",234044,"2DY12_82_1",2.23538181818182,31.2583,"5/22/2012","2DY12_82_1"
"29",88,"2DY12",139,1,"2012-05-27 7:35","2DY12 139 1 60BON 1",505.7279,842.87984,2012,5,57.98466,-169.4705,147,149.4875,70,"2DY12_57.98466_-169.4705_2012-05-27 7:35_505",126,429,"5/27/2012",234044,"2DY12_139_1",-0.317809090909091,31.6913909090909,"5/27/2012","2DY12_139_1"
"30",89,"2DY12",140,1,"2012-05-27 9:01","2DY12 140 1 60BON 1",660.54813,1032.10645,2012,5,57.86783,-169.8418,147,138.5516,73,"2DY12_57.86783_-169.8418_2012-05-27 9:01_505",143,429,"5/27/2012",234044,"2DY12_140_1",0.319727272727273,31.5584818181818,"5/27/2012","2DY12_140_1"
"31",91,"2DY12",191,1,"2012-06-01 2:17","2DY12 191 1 60BON 1",721.88787,729.17967,2012,6,57.71217,-172.1202,152,233.1387,109,"2DY12_57.71217_-172.1202_2012-06-01 2:17_505",170,429,"6/1/2012",234044,"2DY12_191_1",0.905927272727273,31.5017818181818,"6/1/2012","2DY12_191_1"
"32",92,"DY14-06",170,1,"2014-06-03 2:13","DY14-06 170 1 60BON 1",0,0,2014,6,56.9495,-170.8672,154,159.51708,103,"DY14-06_56.9495_-170.8672_2014-06-03 2:13_505",0,521,"6/3/2014",228355,"DY14-06_170_1",5.28997272727273,32.0735545454545,"6/3/2014","DY14-06_170_1"
