"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","Link_ID","temperature","salinity","CTD_date","CTD_link","CTD_time","date_diff"
"3",17,"BE13-03",195,2,"2013-09-24 16:07","BE13-03 195 2 60BON 1",0,0,2013,9,60.51539,-168.00882,267,21.49008,30,"BE13-03_60.51539_-168.00882_2013-09-24 16:07_505",0,63,"2013-09-24",234526,"BE13-03_195_2",9.29368181818182,30.7010909090909,"2013-09-24","BE13-03_195_2","1607",0
"4",18,"2DY10",87,2,"2010-05-16 3:08","2DY10 87 2 60BON 2",0,0,2010,5,56.43033,-168.89867,136,233.54387,113,"2DY10_56.43033_-168.89867_2010-05-16 3:08_500",0,370,"2010-05-16",227957,"2DY10_87_2",1.54033636363636,31.2211272727273,"2010-05-16","2DY10_87_2","308",0
"5",22,"3MF08",45,1,"2008-09-19 11:25","3MF08 45 1 60BON 1",0,0,2008,9,55.2815,-164.30833,262,140.16673,93,"3MF08_55.2815_-164.30833_2008-09-19 11:25_500",0,331,"2008-09-19",227649,"3MF08_45_1",8.86071818181818,31.6845515518182,"2008-09-19","3MF08_45_1","1122",0
"6",23,"3MF08",52,1,"2008-09-20 7:07","3MF08 52 1 60BON 1",0,0,2008,9,54.841,-164.87399,263,116.50999,74,"3MF08_54.841_-164.87399_2008-09-20 7:07_500",0,331,"2008-09-20",227649,"3MF08_52_1",8.11949090909091,31.8427315227273,"2008-09-20","3MF08_52_1","660",0
"7",24,"3MF06",28,2,"2006-05-12 20:10","3MF06 28 2 60BON 1",0,0,2006,5,55.1365,-166.65033,132,203.21555,142,"3MF06_55.1365_-166.65033_2006-05-12 20:10_505",0,442,"2006-05-12",242629,"3MF06_28_2",3.67884545454545,32.0306181818182,"2006-05-12","3MF06_28_2","2010",0
"8",27,"3MF06",76,2,"2006-05-17 9:11","3MF06 76 2 60BON 1",0,0,2006,5,56.56167,-162.01817,137,122.03668,72,"3MF06_56.56167_-162.01817_2006-05-17 9:11_505",0,442,"2006-05-17",242629,"3MF06_76_2",2.76964545454545,31.8680545454545,"2006-05-17","3MF06_76_2","911",0
"9",28,"3MF06",83,2,"2006-05-18 0:08","3MF06 83 2 60BON 2",87.53176,143.49469,2006,5,56.58217,-161.00717,138,125.44018,71,"3MF06_56.58217_-161.00717_2006-05-18 0:08_505",18,442,"2006-05-18",242629,"3MF06_83_2",2.74420909090909,31.7276090909091,"2006-05-18","3MF06_83_2","8",0
"10",29,"3MF08",21,1,"2008-09-14 14:18","3MF08 21 1 60BON 1",0,0,2008,9,57.5085,-159.87784,257,91.03952,54,"3MF08_57.5085_-159.87784_2008-09-14 14:18_500",0,331,"2008-09-14",227649,"3MF08_21_1",6.74607272727273,31.4175826972727,"2008-09-14","3MF08_21_1","1412",0
"11",30,"3MF06",22,2,"2006-05-12 2:53","3MF06 22 2 60BON 1",0,0,2006,5,54.013,-166.60117,132,104.74217,73,"3MF06_54.013_-166.60117_2006-05-12 2:53_505",0,442,"2006-05-12",242629,"3MF06_22_2",4.22193636363636,32.7883636363636,"2006-05-12","3MF06_22_2","253",0
"12",38,"3DY09",69,2,"2009-05-15 22:15","3DY09 69 2 60BON 1",0,0,2009,5,55.369,-165.90067,135,195.95366,121,"3DY09_55.369_-165.90067_2009-05-15 22:15_505",0,311,"2009-05-15",225280,"3DY09_69_2",3.83456363636364,31.8050181818182,"2009-05-15","3DY09_69_2","2210",0
