"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","Link_ID","temperature","salinity","CTD_date","CTD_link","CTD_time","date_diff"
"1",18,"2DY10",87,2,"2010-05-16 3:08","2DY10 87 2 60BON 2",260.76471,248.34734,2010,5,56.43033,-168.89867,136,233.54387,113,"2DY10_56.43033_-168.89867_2010-05-16 3:08_500",58,370,"2010-05-16",227957,"2DY10_87_2",1.54033636363636,31.2211272727273,"2010-05-16","2DY10_87_2","308",0
"4",24,"3MF06",28,2,"2006-05-12 20:10","3MF06 28 2 60BON 1",32.72387,24.60442,2006,5,55.1365,-166.65033,132,203.21555,142,"3MF06_55.1365_-166.65033_2006-05-12 20:10_505",5,442,"2006-05-12",242629,"3MF06_28_2",3.67884545454545,32.0306181818182,"2006-05-12","3MF06_28_2","2010",0
"5",27,"3MF06",76,2,"2006-05-17 9:11","3MF06 76 2 60BON 1",505.91347,803.03725,2006,5,56.56167,-162.01817,137,122.03668,72,"3MF06_56.56167_-162.01817_2006-05-17 9:11_505",98,442,"2006-05-17",242629,"3MF06_76_2",2.76964545454545,31.8680545454545,"2006-05-17","3MF06_76_2","911",0
"6",28,"3MF06",83,2,"2006-05-18 0:08","3MF06 83 2 60BON 2",457.11031,749.36117,2006,5,56.58217,-161.00717,138,125.44018,71,"3MF06_56.58217_-161.00717_2006-05-18 0:08_505",94,442,"2006-05-18",242629,"3MF06_83_2",2.74420909090909,31.7276090909091,"2006-05-18","3MF06_83_2","8",0
"7",30,"3MF06",22,2,"2006-05-12 2:53","3MF06 22 2 60BON 1",0,0,2006,5,54.013,-166.60117,132,104.74217,73,"3MF06_54.013_-166.60117_2006-05-12 2:53_505",0,442,"2006-05-12",242629,"3MF06_22_2",4.22193636363636,32.7883636363636,"2006-05-12","3MF06_22_2","253",0
"8",38,"3DY09",69,2,"2009-05-15 22:15","3DY09 69 2 60BON 1",11.32921,10.20649,2009,5,55.369,-165.90067,135,195.95366,121,"3DY09_55.369_-165.90067_2009-05-15 22:15_505",2,311,"2009-05-15",225280,"3DY09_69_2",3.83456363636364,31.8050181818182,"2009-05-15","3DY09_69_2","2210",0
"9",42,"4MF07",3,2,"2007-05-08 13:33","4MF07 3 2 60BON 1",0,0,2007,5,55.64883,-168.63167,128,171.32869,155,"4MF07_55.64883_-168.63167_2007-05-08 13:33_505",0,446,"2007-05-08",234261,"4MF07_3_2",2.71755454545455,32.0858,"2007-05-08","4MF07_3_2","1327",0
"10",43,"4MF07",30,3,"2007-05-11 11:11","4MF07 30 3 60BON 1",46.4838,46.4838,2007,5,56.54583,-168.51849,131,172.10297,110,"4MF07_56.54583_-168.51849_2007-05-11 11:11_505",8,446,"2007-05-11",234261,"4MF07_30_3",2.25953636363636,31.9679545454545,"2007-05-11","4MF07_30_3","1059",0
"11",51,"5MF00",45,1,"2000-05-11 12:23","5MF00 45 1 60BON 1",73.4324,90.65728,2000,5,56.42433,-163.41667,131,121.33609,85,"5MF00_56.42433_-163.41667_2000-05-11 12:23_333",11,54,"2000-05-11",248451,"5MF00_45_1",1.6211,31.96493,"2000-05-11","5MF00_45_1","1223",0
"16",69,"2DY12",38,1,"2012-05-19 13:54","2DY12 38 1 60BON 1",0,0,2012,5,55.9475,-164.958,139,176.2998,97,"2DY12_55.9475_-164.958_2012-05-19 13:54_505",0,429,"2012-05-19",234044,"2DY12_38_1",1.18093636363636,31.8602727272727,"2012-05-19","2DY12_38_1","1350",0
