"","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date"
"1","DY15-04","38",2,"5/2/2015 21:21:00","DY15-04 38 2 60BON 1",0,0,2015,5,57.4992,-167.353,122,118.978,71,"DY15-04_57.4992_-167.353_5/2/2015 21:21:00_505",0,93,"5/2/2015"
"2","4MF94","143",6,"4/28/1994 9:01:00","4MF94 143 6 60BON 1",9.15879,4.51172,1994,4,54.72333,-165.56329,118,221.645,251,"4MF94_54.72333_-165.56329_4/28/1994 9:01:00_333",1,145,"4/28/1994"
"6","4MF94","45",1,"4/19/1994 11:45:00","4MF94 45 1 60BON 1",0,0,1994,4,54.56667,-166.63831,109,270.49689,419,"4MF94_54.56667_-166.63831_4/19/1994 11:45:00_333",0,145,"4/19/1994"
"7","4MF07","52",3,"5/13/2007 10:18:00","4MF07 52 3 60BON 1",0,0,2007,5,56.8505,-170.28517,133,128.30444,92,"4MF07_56.8505_-170.28517_5/13/2007 10:18:00_505",0,279,"5/13/2007"
"8","4MF07","21",2,"5/10/2007 12:52:00","4MF07 21 2 60BON 1",0,0,2007,5,55.85017,-169.793,130,371.33298,1902,"4MF07_55.85017_-169.793_5/10/2007 12:52:00_505",0,279,"5/10/2007"
"9","4MF07","26",4,"5/11/2007 2:16:00","4MF07 26 4 60BON 1",0,0,2007,5,56.07367,-170.00934,131,141.37459,126,"4MF07_56.07367_-170.00934_5/11/2007 2:16:00_505",0,279,"5/11/2007"
"10","4MF94","54",1,"4/20/1994 6:28:00","4MF94 54 1 60BON 1",0,0,1994,4,53.73,-168.265,110,286.8241,1579,"4MF94_53.73_-168.265_4/20/1994 6:28:00_333",0,145,"4/20/1994"
"11","4MF94","55",1,"4/20/1994 8:49:00","4MF94 55 1 60BON 1",0,0,1994,4,53.84667,-167.8833,110,248.6497,1451,"4MF94_53.84667_-167.8833_4/20/1994 8:49:00_333",0,145,"4/20/1994"
"12","4MF07","54",2,"5/13/2007 14:18:00","4MF07 54 2 60BON 1",0,0,2007,5,56.611,-171.01784,133,162.69272,118,"4MF07_56.611_-171.01784_5/13/2007 14:18:00_505",0,279,"5/13/2007"
"17","4MF07","73",2,"5/15/2007 21:10:00","4MF07 73 2 60BON 1",0,0,2007,5,56.00917,-172.84866,135,360.9454,3120,"4MF07_56.00917_-172.84866_5/15/2007 21:10:00_505",0,279,"5/15/2007"
"20","5MF05","137",1,"5/20/2005 7:56:00","5MF05 137 1 60BON 1",7.30223,5.8889,2005,5,55.46467,-166.46516,140,169.81111,132,"5MF05_55.46467_-166.46516_5/20/2005 7:56:00_505",1,148,"5/20/2005"
"22","7MF95","23",1,"5/6/1995 12:50:00","7MF95 23 1 60BON 1",0,0,1995,5,57.06533,-165.05631,126,133.51904,68,"7MF95_57.06533_-165.05631_5/6/1995 12:50:00_333",0,275,"5/6/1995"
"23","7MF95","28",1,"5/6/1995 21:07:00","7MF95 28 1 60BON 1",0,0,1995,5,56.46683,-166.96069,126,149.18192,101,"7MF95_56.46683_-166.96069_5/6/1995 21:07:00_333",0,275,"5/6/1995"
"26","7MF95","77",1,"5/11/1995 12:00:00","7MF95 77 1 60BON 1",0,0,1995,5,55.66967,-167.6637,131,166.11275,134,"7MF95_55.66967_-167.6637_5/11/1995 12:00:00_333",0,275,"5/11/1995"
"30","6MF95","35",1,"4/20/1995 5:21:00","6MF95 35 1 60BON 1",0,0,1995,4,54.92083,-168.65871,110,123.50719,1945,"6MF95_54.92083_-168.65871_4/20/1995 5:21:00_333",0,275,"4/20/1995"
"31","6MF95","37",1,"4/20/1995 6:50:00","6MF95 37 1 60BON 1",0,0,1995,4,55.03,-168.7675,110,132.25848,2034,"6MF95_55.03_-168.7675_4/20/1995 6:50:00_333",0,275,"4/20/1995"
"32","6MF95","53",1,"4/21/1995 16:29:00","6MF95 53 1 60BON 1",0,0,1995,4,54.57117,-166.6273,111,286.67996,414,"6MF95_54.57117_-166.6273_4/21/1995 16:29:00_333",0,275,"4/21/1995"
"33","6MF95","56",2,"4/22/1995 2:30:00","6MF95 56 2 60BON 1",0,0,1995,4,54.41083,-165.1308,112,172.62647,133,"6MF95_54.41083_-165.1308_4/22/1995 2:30:00_333",0,275,"4/22/1995"
"34","3MF79","G008A",2,"6/1/1979 23:20:00","3MF79 G008A 2 60BON 1",0,0,1979,6,55.655,-167.065,152,168.15161,134,"3MF79_55.655_-167.065_6/1/1979 23:20:00_505",0,85,"6/1/1979"
