Year,Species,SSB,Source
1976,flathead sole,121239,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1977,flathead sole,112324,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1978,flathead sole,104669,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1979,flathead sole,96077,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1980,flathead sole,91945,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1981,flathead sole,87808,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1982,flathead sole,83862,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1983,flathead sole,81882,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1984,flathead sole,82420,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1985,flathead sole,85272,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1986,flathead sole,89908,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1987,flathead sole,97207,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1988,flathead sole,108285,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1989,flathead sole,121724,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1990,flathead sole,140791,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1991,flathead sole,154970,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1992,flathead sole,169637,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1993,flathead sole,181764,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1994,flathead sole,194308,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1995,flathead sole,206166,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1996,flathead sole,217915,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1997,flathead sole,224983,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1998,flathead sole,225332,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1999,flathead sole,219832,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2000,flathead sole,215281,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2001,flathead sole,208643,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2002,flathead sole,202217,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2003,flathead sole,195259,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2004,flathead sole,188888,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2005,flathead sole,182115,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2006,flathead sole,178385,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2007,flathead sole,175103,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2008,flathead sole,172095,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2009,flathead sole,166128,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2010,flathead sole,163890,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2011,flathead sole,163655,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2012,flathead sole,168082,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2013,flathead sole,172401,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2014,flathead sole,170257,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2015,flathead sole,165368,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2016,flathead sole,161167,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2017,flathead sole,156481,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2018,flathead sole,152668,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2019,flathead sole,149776,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
2020,flathead sole,148077,"NPFMC Assessment of flathead sole-bering flounder stock in the bering sea and aleutian islands, December 2020"
1976,northern rock sole,48272,NPFMC northern rock sole assessment in the BSAI region December 2020
1977,northern rock sole,53391,NPFMC northern rock sole assessment in the BSAI region December 2020
1978,northern rock sole,66049,NPFMC northern rock sole assessment in the BSAI region December 2020
1979,northern rock sole,81166,NPFMC northern rock sole assessment in the BSAI region December 2020
1980,northern rock sole,93036,NPFMC northern rock sole assessment in the BSAI region December 2020
1981,northern rock sole,99089,NPFMC northern rock sole assessment in the BSAI region December 2020
1982,northern rock sole,98773,NPFMC northern rock sole assessment in the BSAI region December 2020
